turnir,leto,podlaga,st_iger,zmagovalec,porazenec
0,1993,Hard,18,0,1
0,1993,Hard,29,1,2
0,1993,Hard,19,0,3
0,1993,Hard,20,1,4
0,1993,Hard,20,0,5
0,1993,Hard,32,3,6
0,1993,Hard,23,2,7
0,1993,Hard,19,1,8
0,1993,Hard,22,0,9
0,1993,Hard,15,4,10
0,1993,Hard,16,6,11
0,1993,Hard,19,3,12
0,1993,Hard,29,7,13
0,1993,Hard,19,2,14
0,1993,Hard,14,5,15
0,1993,Hard,36,1,16
0,1993,Hard,16,0,17
0,1993,Hard,21,6,18
0,1993,Hard,27,7,19
0,1993,Hard,31,3,20
0,1993,Hard,29,14,21
0,1993,Hard,18,4,22
0,1993,Hard,13,15,23
0,1993,Hard,26,10,24
0,1993,Hard,20,8,25
0,1993,Hard,29,11,26
0,1993,Hard,17,9,27
0,1993,Hard,14,2,28
0,1993,Hard,19,12,29
0,1993,Hard,25,13,30
0,1993,Hard,15,5,31
0,1994,Hard,16,0,32
0,1994,Hard,20,0,10
0,1994,Hard,17,32,33
0,1994,Hard,35,0,34
0,1994,Hard,26,33,35
0,1994,Hard,22,10,36
0,1994,Hard,28,32,13
0,1994,Hard,23,0,37
0,1994,Hard,28,33,38
0,1994,Hard,28,35,39
0,1994,Hard,19,34,31
0,1994,Hard,21,13,40
0,1994,Hard,19,10,41
0,1994,Hard,22,36,42
0,1994,Hard,30,32,43
0,1994,Hard,19,0,44
0,1994,Hard,23,43,1
0,1994,Hard,17,36,45
0,1994,Hard,17,38,46
0,1994,Hard,25,10,6
0,1994,Hard,24,35,8
0,1994,Hard,21,31,47
0,1994,Hard,32,40,48
0,1994,Hard,31,41,49
0,1994,Hard,31,42,50
0,1994,Hard,22,37,3
0,1994,Hard,16,32,21
0,1994,Hard,17,34,51
0,1994,Hard,17,33,7
0,1994,Hard,30,13,19
0,1994,Hard,32,39,5
0,1995,Hard,25,0,52
0,1995,Hard,28,0,53
0,1995,Hard,13,52,10
0,1995,Hard,20,0,54
0,1995,Hard,34,10,55
0,1995,Hard,17,53,43
0,1995,Hard,30,52,34
0,1995,Hard,23,34,6
0,1995,Hard,17,0,7
0,1995,Hard,21,10,21
0,1995,Hard,16,43,1
0,1995,Hard,16,53,13
0,1995,Hard,30,54,56
0,1995,Hard,30,55,57
0,1995,Hard,28,52,58
0,1995,Hard,23,6,35
0,1995,Hard,15,0,26
0,1995,Hard,21,10,59
0,1995,Hard,34,1,60
0,1995,Hard,20,57,38
0,1995,Hard,21,53,61
0,1995,Hard,19,58,62
0,1995,Hard,22,54,63
0,1995,Hard,15,55,64
0,1995,Hard,17,43,12
0,1995,Hard,32,56,65
0,1995,Hard,18,21,66
0,1995,Hard,26,7,18
0,1995,Hard,18,52,67
0,1995,Hard,28,34,47
0,1995,Hard,21,13,48
0,1996,Hard,21,0,68
0,1996,Hard,24,0,53
0,1996,Hard,32,68,52
0,1996,Hard,20,0,56
0,1996,Hard,33,52,40
0,1996,Hard,26,68,69
0,1996,Hard,21,53,60
0,1996,Hard,21,0,70
0,1996,Hard,22,40,7
0,1996,Hard,22,68,37
0,1996,Hard,20,60,71
0,1996,Hard,20,53,43
0,1996,Hard,18,69,72
0,1996,Hard,18,52,13
0,1996,Hard,20,56,73
0,1996,Hard,20,0,74
0,1996,Hard,28,40,75
0,1996,Hard,26,68,2
0,1996,Hard,33,60,48
0,1996,Hard,17,53,26
0,1996,Hard,16,69,76
0,1996,Hard,23,52,67
0,1996,Hard,23,73,24
0,1996,Hard,34,37,77
0,1996,Hard,17,43,78
0,1996,Hard,25,56,79
0,1996,Hard,17,7,80
0,1996,Hard,28,70,81
0,1996,Hard,16,71,82
0,1996,Hard,30,13,34
0,1996,Hard,21,72,83
0,1997,Hard,23,53,74
0,1997,Hard,25,53,77
0,1997,Hard,16,74,52
0,1997,Hard,22,53,84
0,1997,Hard,30,77,85
0,1997,Hard,27,52,86
0,1997,Hard,18,74,87
0,1997,Hard,31,53,55
0,1997,Hard,15,77,88
0,1997,Hard,19,74,1
0,1997,Hard,18,86,79
0,1997,Hard,18,85,89
0,1997,Hard,29,87,56
0,1997,Hard,21,52,90
0,1997,Hard,27,84,21
0,1997,Hard,24,53,40
0,1997,Hard,21,87,69
0,1997,Hard,30,52,42
0,1997,Hard,19,88,37
0,1997,Hard,30,89,91
0,1997,Hard,20,86,65
0,1997,Hard,28,1,92
0,1997,Hard,28,21,93
0,1997,Hard,28,85,94
0,1997,Hard,12,55,95
0,1997,Hard,13,90,96
0,1997,Hard,20,79,97
0,1997,Hard,14,56,98
0,1997,Hard,16,77,99
0,1997,Hard,27,84,100
0,1997,Hard,24,74,101
0,1998,Hard,18,68,102
0,1998,Hard,16,102,53
0,1998,Hard,31,68,103
0,1998,Hard,25,53,100
0,1998,Hard,29,103,56
0,1998,Hard,21,102,87
0,1998,Hard,27,68,55
0,1998,Hard,31,102,73
0,1998,Hard,25,53,104
0,1998,Hard,15,103,86
0,1998,Hard,18,100,105
0,1998,Hard,22,55,52
0,1998,Hard,17,56,106
0,1998,Hard,33,87,74
0,1998,Hard,22,68,7
0,1998,Hard,19,73,94
0,1998,Hard,22,7,6
0,1998,Hard,21,56,107
0,1998,Hard,27,53,108
0,1998,Hard,20,103,93
0,1998,Hard,19,105,109
0,1998,Hard,19,52,110
0,1998,Hard,33,74,97
0,1998,Hard,32,86,80
0,1998,Hard,17,55,77
0,1998,Hard,23,106,91
0,1998,Hard,19,104,111
0,1998,Hard,18,102,112
0,1998,Hard,27,87,113
0,1998,Hard,36,68,90
0,1998,Hard,34,100,114
0,2000,Hard,23,115,103
0,2000,Hard,22,115,116
0,2000,Hard,17,103,97
0,2000,Hard,23,97,77
0,2000,Hard,23,116,117
0,2000,Hard,22,115,118
0,2000,Hard,17,103,106
0,2000,Hard,32,115,107
0,2000,Hard,29,77,113
0,2000,Hard,27,106,52
0,2000,Hard,33,116,119
0,2000,Hard,20,97,120
0,2000,Hard,27,117,56
0,2000,Hard,24,118,121
0,2000,Hard,20,103,65
0,2000,Hard,28,107,79
0,2000,Hard,18,77,57
0,2000,Hard,26,52,122
0,2000,Hard,16,116,123
0,2000,Hard,16,117,53
0,2000,Hard,22,103,94
0,2000,Hard,26,97,88
0,2000,Hard,19,121,124
0,2000,Hard,19,120,125
0,2000,Hard,5,106,126
0,2000,Hard,17,115,15
0,2000,Hard,28,119,84
0,2000,Hard,19,65,127
0,2000,Hard,28,118,87
0,2000,Hard,18,56,128
0,2000,Hard,26,113,74
0,2001,Hard,18,107,88
0,2001,Hard,17,107,106
0,2001,Hard,35,88,129
0,2001,Hard,27,107,52
0,2001,Hard,29,129,122
0,2001,Hard,20,106,117
0,2001,Hard,20,88,109
0,2001,Hard,16,107,130
0,2001,Hard,18,129,92
0,2001,Hard,30,117,104
0,2001,Hard,21,122,62
0,2001,Hard,16,106,131
0,2001,Hard,33,88,111
0,2001,Hard,25,52,132
0,2001,Hard,23,109,124
0,2001,Hard,17,107,73
0,2001,Hard,29,88,97
0,2001,Hard,20,129,119
0,2001,Hard,25,117,108
0,2001,Hard,23,62,112
0,2001,Hard,20,124,94
0,2001,Hard,28,52,53
0,2001,Hard,17,131,93
0,2001,Hard,18,122,123
0,2001,Hard,18,106,133
0,2001,Hard,20,104,134
0,2001,Hard,18,92,126
0,2001,Hard,18,109,135
0,2001,Hard,15,130,136
0,2001,Hard,22,132,56
0,2001,Hard,23,111,137
0,2002,Hard,26,129,52
0,2002,Hard,23,129,138
0,2002,Hard,18,52,115
0,2002,Hard,29,129,94
0,2002,Hard,34,115,53
0,2002,Hard,23,52,133
0,2002,Hard,29,138,111
0,2002,Hard,34,94,139
0,2002,Hard,20,133,123
0,2002,Hard,20,129,140
0,2002,Hard,20,138,73
0,2002,Hard,31,115,126
0,2002,Hard,4,53,125
0,2002,Hard,28,52,141
0,2002,Hard,22,111,142
0,2002,Hard,21,139,143
0,2002,Hard,20,115,106
0,2002,Hard,26,111,77
0,2002,Hard,17,123,134
0,2002,Hard,20,129,144
0,2002,Hard,17,73,88
0,2002,Hard,27,125,145
0,2002,Hard,19,141,146
0,2002,Hard,18,140,122
0,2002,Hard,17,53,147
0,2002,Hard,22,126,40
0,2002,Hard,20,52,148
0,2002,Hard,23,138,149
0,2002,Hard,25,142,56
0,2002,Hard,20,133,150
0,2002,Hard,23,94,97
0,2003,Hard,30,151,111
0,2003,Hard,38,111,107
0,2003,Hard,16,151,73
0,2003,Hard,23,73,129
0,2003,Hard,10,107,152
0,2003,Hard,21,151,153
0,2003,Hard,21,111,154
0,2003,Hard,27,129,155
0,2003,Hard,25,111,146
0,2003,Hard,26,151,117
0,2003,Hard,32,152,113
0,2003,Hard,27,107,156
0,2003,Hard,16,153,87
0,2003,Hard,19,73,94
0,2003,Hard,25,154,134
0,2003,Hard,14,129,143
0,2003,Hard,25,146,126
0,2003,Hard,27,117,133
0,2003,Hard,29,152,157
0,2003,Hard,26,73,115
0,2003,Hard,34,107,141
0,2003,Hard,24,153,97
0,2003,Hard,15,134,77
0,2003,Hard,16,151,158
0,2003,Hard,17,156,123
0,2003,Hard,17,87,52
0,2003,Hard,27,155,53
0,2003,Hard,35,154,84
0,2003,Hard,15,113,138
0,2003,Hard,15,94,92
0,2003,Hard,15,111,159
0,2004,Hard,15,129,160
0,2004,Hard,21,129,115
0,2004,Hard,27,160,106
0,2004,Hard,29,129,159
0,2004,Hard,19,160,126
0,2004,Hard,23,115,161
0,2004,Hard,14,106,157
0,2004,Hard,26,129,162
0,2004,Hard,16,126,163
0,2004,Hard,21,157,111
0,2004,Hard,26,160,73
0,2004,Hard,19,106,117
0,2004,Hard,18,115,156
0,2004,Hard,18,159,116
0,2004,Hard,32,161,134
0,2004,Hard,18,129,133
0,2004,Hard,14,126,56
0,2004,Hard,23,134,151
0,2004,Hard,30,111,164
0,2004,Hard,22,73,165
0,2004,Hard,33,117,140
0,2004,Hard,19,115,138
0,2004,Hard,34,159,88
0,2004,Hard,35,106,166
0,2004,Hard,21,156,158
0,2004,Hard,31,162,136
0,2004,Hard,32,161,167
0,2004,Hard,31,116,168
0,2004,Hard,22,157,123
0,2004,Hard,23,163,77
0,2004,Hard,18,160,169
0,2005,Hard,13,170,138
0,2005,Hard,17,170,103
0,2005,Hard,33,138,151
0,2005,Hard,21,170,106
