id,ime
124,lisbon
32,boston
83,fairfield
133,macon
257,zurich
56,cedar-grove
117,lagos
108,jakarta
190,quebec
130,luxembourg
104,indian-wells
119,lakeway
153,montevideo
73,dorado-beach
189,prague
101,honolulu
20,bastad
243,tuscon
14,bahia
40,brussels
191,quito
69,denver
109,jerusalem
116,lafayette
219,split
214,shenzhen
232,tanglewood
235,tel-aviv
207,sao-paulo
239,toulouse
229,taipei
180,ostrava
107,jacksonville
75,dubai
126,london
215,shreveport
110,johannesburg
49,calgary
15,baltimore
252,wellington
38,bristol
166,new-orleans
64,columbus
132,maceio
88,geneva
134,madeira
29,bologna
55,catania
33,bournemouth
68,delray-beach
102,houston
13,aviles
85,forest-hills
128,los-angeles
253,wembley
96,hartford
19,basel
41,bucharest
183,palm-desert
162,naples
131,lyon
159,murcia
147,mexico-city
177,oporto
148,miami
144,merano
111,kansas-city
205,san-remo
195,rome
210,seattle
145,merion
97,hempstead
224,strasbourg
36,brighton
199,sacramento
160,nancy
240,treviso
217,sofia
151,monte-carlo
143,memphis
30,bolton
238,toronto
168,newport
212,seoul
9,athens
228,szczecin
188,phoenix
170,north-conway
62,cincinnati
114,kuala-lumpur
1,adelaide
231,tangier
45,buzios
11,auckland
181,oviedo
245,us-open
35,bretton-woods
233,tashkent
218,south-orange
156,moscow
7,aptos
150,milan
65,copenhagen
105,indianapolis
163,nassau
78,dusseldorf
165,new-haven
200,salisbury
161,napa
178,osaka
25,besancon
186,perth
71,detroit
141,marseille
174,ocean-city
92,guaruja
193,roanoke
3,amersfoort
152,monterrey
213,shanghai
138,manila
43,buenos-aires
154,montpellier
179,oslo
44,bukhara
0,acapulco
171,nottingham
10,atlanta
54,casablanca
4,amsterdam
61,christchurch
254,wimbledon
58,chennai
94,hamburg
206,santiago
222,stockholm
221,st-petersburg
256,zagreb
115,la-costa
23,berlin
172,nuembrecht
149,midland
255,winston-salem
142,melbourne
53,caracas
80,eastbourne
5,ancona
185,paris
120,las-vegas
86,fort-myers
242,tulsa
74,dortmund
244,umag
81,essen
60,chorpus-christi
203,san-jose
211,senigallia
225,stuttgart
226,surbiton
197,rye-brook
123,linz
12,australian-open
248,venice
48,calcutta
67,dallas
37,brisbane
76,dublin
204,san-juan
112,khartoum
91,guadalajara
63,cologne
198,s-hertogenbosch
169,nice
127,long-island
24,bermuda
135,madrid
173,oahu
164,new-delhi
187,philadelphia
66,costa-rica
8,armonk
209,schenectady
21,beijing
79,east-london
155,montreal
57,charleston
246,valencia
2,alamo
39,bronx
31,bombay
95,hamilton
247,vancouver
6,antwerp
194,roland-garros
241,tucson
100,hong-kong
16,bangalore
59,chicago
52,capetown
137,manchester
118,laguna-niguel
51,cap-dadge
90,gstaad
249,vienna
220,st-louis
26,birmingham
121,leicester
216,singapore
89,genova
122,liege
50,canton
42,budaors
202,san-diego
27,boca-west
125,livingston
99,hobart
234,tehran
103,hoylake
236,tempe
192,richmond
113,kitzbuhel
223,stowe
158,munich
82,estoril
28,bogota
230,tampa
227,sydney
140,marrakech
72,doha
175,oeiras
47,calabasas
87,fort-worth
84,ferrara
196,rotterdam
176,omaha
34,brasilia
129,louisville
208,sarasota
93,halle
251,washington
106,istanbul
139,marbella
17,bangkok
167,new-york
184,paramus
70,des-moines
182,palermo
46,cairo
250,warsaw
201,san-antonio
22,belgrade
146,metz
77,durban
157,mumbai
98,hilton-head
237,tokyo
18,barcelona
136,mallorca
